id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,87752.0,1752307958216,1,1752307958216,15687355596,87943.0,87426.0,294.09,0.33626,5698596999.0,0.32627,19968365.0,19968365.0,21000000.0,126080.0,-30.39939,2025-10-06T18:57:42.558Z,67.81,129311.09339,2013-07-06T00:00:00.000Z,,2025-12-28T16:58:33.514Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2940.67,354988209375,2,354988209375,8630681346,2955.97,2918.27,22.4,0.7675,2698155914.0,0.76589,120694953.3389277,120694953.3389277,,4946.05,-40.52528,2025-08-24T19:21:03.333Z,0.432979,679297.67193,2015-10-20T00:00:00.000Z,"{'times': 43.80681206142728, 'currency': 'btc', 'percentage': 4380.681206142728}",2025-12-28T16:58:33.743Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999386,186714544603,3,192178196803,31491201784,0.999675,0.99926,-0.000247675560429261,-0.02478,-88461011.31994629,-0.04736,186826783367.9,192293719904.5362,,1.32,-24.46065,2018-07-24T00:00:00.000Z,0.572521,74.57133,2015-03-02T00:00:00.000Z,,2025-12-28T16:58:20.862Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,863.64,118969188265,4,118969188265,761032142,863.7,839.22,23.18,2.75778,3245496000.0,2.80452,137734718.11,137734718.11,200000000.0,1369.99,-37.10637,2025-10-13T08:41:24.131Z,0.0398177,2163856.05681,2017-10-19T00:00:00.000Z,,2025-12-28T16:58:33.406Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.87,113011139901,5,186543722163,1018954305,1.88,1.84,0.02152467,1.16735,1340480489.0,1.20039,60572944636.0,99985740916.0,100000000000.0,3.65,-48.80085,2025-07-18T03:40:53.808Z,0.00268621,69400.02926,2014-05-22T00:00:00.000Z,,2025-12-28T16:58:20.231Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,76414037833,6,76413409747,4563834966,1.002,0.999719,0.00019962,0.01996,-59905771.71798706,-0.07833,76398320179.51987,76397692222.5556,,1.17,-14.71717,2019-05-08T00:40:28.300Z,0.877647,13.95441,2023-03-11T08:02:13.981Z,,2025-12-28T16:58:27.777Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,124.24,69923181292,7,76676611042,1947950341,124.8,122.78,1.24,1.00834,743356875.0,1.07453,562780690.4346708,617136052.8046676,,293.31,-57.63388,2025-01-19T11:15:27.957Z,0.500801,24713.21859,2020-05-11T19:35:23.449Z,,2025-12-28T16:58:34.968Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.28386,26879099962,8,26879565388,463019849,0.28507,0.281498,0.00236058,0.83857,224022980.0,0.84045,94690844934.90778,94692484557.10498,,0.431288,-34.10743,2024-12-04T00:10:40.323Z,0.00180434,15650.17536,2017-11-12T00:00:00.000Z,"{'times': 148.40023805832357, 'currency': 'usd', 'percentage': 14840.023805832358}",2025-12-28T16:58:19.988Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2939.92,25831899493,9,25833862059,11148562,2954.06,2917.96,21.87,0.74957,209817771.0,0.81889,8785677.03633538,8786344.5238421,,4932.89,-40.37536,2025-08-24T19:21:31.902Z,482.9,509.07912,2020-12-22T04:08:21.854Z,,2025-12-28T16:58:34.473Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.124031,20850246732,10,20851839615,439017076,0.124707,0.122685,0.00125814,1.02477,2148982425.0,11.49111,168070893126.579,168083733126.579,,0.731578,-83.03314,2021-05-08T05:08:23.458Z,8.69e-05,142731.33823,2015-05-06T00:00:00.000Z,,2025-12-28T16:58:34.859Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.02,14665412711,11,14665412711,870976,1.025,1.02,-0.004173800000000005,-0.4074,-63098143.73684502,-0.42841,14373205444.575,14373205444.575,,1.37,-25.50177,2025-10-28T06:05:38.345Z,0.155357,556.76643,2025-10-31T14:27:24.456Z,,2025-12-28T03:16:53.502Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.369667,13554164028,12,16636406857,466600187,0.374678,0.355928,0.01356175,3.80836,499708450.0,3.82788,36662807450.96503,45000000000.0,45000000000.0,3.09,-88.02269,2021-09-02T06:00:10.474Z,0.01925275,1820.39617,2020-03-13T02:22:55.044Z,,2025-12-28T16:58:20.210Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,630.73,12597982972,13,12597982972,319861783,632.4,612.7,11.86,1.91613,245339008.0,1.98613,19973199.89665078,19973199.89665078,21000000.0,3785.82,-83.37009,2017-12-20T00:00:00.000Z,76.93,718.32729,2018-12-16T00:00:00.000Z,,2025-12-28T16:58:34.823Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,56.22,12036998813,14,18023806448,10539555,56.49,55.97,0.142318,0.25378,27973296.0,0.23294,214127537.0,320627537.0,400000000.0,64.11,-12.35075,2025-12-10T20:16:13.582Z,3.06,1735.19997,2023-02-13T19:01:21.899Z,,2025-12-28T16:58:34.456Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3597.5,11442752367,15,11442752367,14893987,3614.5,3567.36,30.14,0.84487,93702465.0,0.82564,3179396.253830723,3179396.253830723,,7256.02,-50.41739,2022-05-13T15:09:54.509Z,558.54,544.13006,2022-05-13T01:36:45.053Z,,2025-12-28T16:58:34.469Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/WBTCLOGO.png?1764496367,87586.0,10950300640,16,10950300640,78770501,87868.0,87094.0,285.79,0.32736,52971768.0,0.4861,124963.48883569,124963.48883569,,125932.0,-30.43931,2025-10-06T18:55:19.650Z,3139.17,2690.51584,2019-04-02T00:00:00.000Z,,2025-12-28T16:58:34.860Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3196.82,10441690610,17,10441690610,7070741,3211.56,3171.48,25.34,0.79899,82878017.0,0.80007,3264502.517553559,3264502.517553559,,5330.78,-40.00406,2025-08-24T19:27:46.809Z,1501.6,112.98946,2025-04-09T03:57:40.245Z,,2025-12-28T16:58:34.445Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999708,9554706257,18,9554706257,1450693,0.999947,0.998787,-3.2658232589799e-05,-0.00327,14080178.0,0.14758,9557518395.969591,9557518395.969591,,1.057,-5.44315,2024-10-29T05:40:51.197Z,0.948265,5.43154,2024-10-03T13:19:28.826Z,,2025-12-28T16:58:34.542Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3189.68,9032487799,19,9032480976,7034737,3205.56,3163.99,25.64,0.81021,75990481.0,0.84844,2830623.960400752,2830621.822110216,,5296.78,-39.76138,2025-08-24T19:25:19.771Z,1505.24,111.97402,2025-04-09T03:45:31.391Z,,2025-12-28T16:58:34.546Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,0.999253,8978570720,20,8978570720,850865526,1.0,0.998718,-0.000262355318308649,-0.02625,557196.0,0.00621,8984992892.453934,8984992892.453934,,1.05,-4.82485,2024-08-05T14:21:42.527Z,0.942186,6.06208,2024-12-05T22:30:39.827Z,,2025-12-28T16:58:20.377Z
